report_date,region,class,type,volume,pct_chg
2017-12-18,Southwest (SW),,Cage-Free,4.0,-30.2%
2017-12-18,Southwest (SW),,Organic,13.8,7.8%
2017-12-18,Southwest (SW),,Specialty,3.1,180.9%
2017-12-18,Southwest (SW),Extra Large,,21.7,-17.9%
2017-12-18,Southwest (SW),Jumbo,,6.7,-13.0%
2017-12-18,Southwest (SW),Large,,90.5,-11.7%
2017-12-18,Southwest (SW),Medium,,15.2,-8.7%
2017-12-18,Southwest (SW),Misc,,4.9,6.9%
2017-12-18,Southwest (SW),Small,,1.9,24.9%
2017-12-18,Southwest (SW),Total,,159.6,-10.3%
2017-12-18,Southwest (SW),Ungraded,,18.8,1.0%
2017-12-25,,Breaking Stock,,291.2,11.0%
