year,reference_period,class,value,unit,agg_level,state_alpha
2010,JUN,ALL CLASSES,85000000.0,EGGS,STATE,CO
2010,JUN,TABLE,,EGGS,STATE,CO
2010,JUN,ALL CLASSES,57000000.0,EGGS,STATE,CT
2010,JUN,TABLE,,EGGS,STATE,CT
2010,JUN,ALL CLASSES,198000000.0,EGGS,STATE,FL
2010,JUN,TABLE,194000000.0,EGGS,STATE,FL
2010,JUN,ALL CLASSES,360000000.0,EGGS,STATE,GA
2010,JUN,TABLE,191000000.0,EGGS,STATE,GA
2010,JUN,ALL CLASSES,6000000.0,EGGS,STATE,HI
2010,JUN,TABLE,6000000.0,EGGS,STATE,HI
2010,JUN,ALL CLASSES,1242000000.0,EGGS,STATE,IA
2010,JUN,TABLE,1229000000.0,EGGS,STATE,IA
2010,JUN,ALL CLASSES,99000000.0,EGGS,STATE,IL
2010,JUN,TABLE,96000000.0,EGGS,STATE,IL
2010,JUN,ALL CLASSES,542000000.0,EGGS,STATE,IN
2010,JUN,TABLE,530000000.0,EGGS,STATE,IN
2010,JUN,ALL CLASSES,54000000.0,EGGS,STATE,MD
2010,JUN,TABLE,52000000.0,EGGS,STATE,MD
2010,JUN,ALL CLASSES,85000000.0,EGGS,STATE,ME
2010,JUN,TABLE,,EGGS,STATE,ME
2010,JUN,ALL CLASSES,235000000.0,EGGS,STATE,MI
2010,JUN,TABLE,,EGGS,STATE,MI
2010,JUN,ALL CLASSES,236000000.0,EGGS,STATE,MN
2010,JUN,TABLE,228000000.0,EGGS,STATE,MN
2010,JUN,ALL CLASSES,168000000.0,EGGS,STATE,MO
2010,JUN,TABLE,,EGGS,STATE,MO
2010,JUN,ALL CLASSES,125000000.0,EGGS,STATE,MS
2010,JUN,TABLE,36000000.0,EGGS,STATE,MS
2010,JUN,ALL CLASSES,267000000.0,EGGS,STATE,NC
2010,JUN,TABLE,140000000.0,EGGS,STATE,NC
2010,JUN,ALL CLASSES,229000000.0,EGGS,STATE,NE
2010,JUN,TABLE,229000000.0,EGGS,STATE,NE
2010,JUN,ALL CLASSES,97000000.0,EGGS,STATE,NY
2010,JUN,TABLE,,EGGS,STATE,NY
2010,JUN,ALL CLASSES,606000000.0,EGGS,STATE,OH
2010,JUN,TABLE,,EGGS,STATE,OH
2010,JUN,ALL CLASSES,59000000.0,EGGS,STATE,OR
2010,JUN,TABLE,57000000.0,EGGS,STATE,OR
2010,JUN,ALL CLASSES,426000000.0,EGGS,STATE,OT
2010,JUN,TABLE,292000000.0,EGGS,STATE,OT
2010,JUN,ALL CLASSES,582000000.0,EGGS,STATE,PA
2010,JUN,TABLE,563000000.0,EGGS,STATE,PA
2010,JUN,ALL CLASSES,85000000.0,EGGS,STATE,SC
